Area,Bedrooms,Age,Price
2860,2,7,488207
3294,9,1,233629
3130,5,1,400504
3095,2,13,313090
3638,4,9,233272
4169,7,3,343548
2466,8,7,278047
3238,3,C,383501
2330,1,8,219121
3482,4,9,177505
4135,2,5,102869
4919,8,1,357186
2130,4,19,412252
3685,2,H,212296
2769,6,12,194179
4391,6,15,190272
3515,4,9,138467
4853,I,17,385472
4433,2,17,453556
3215,2,12,235059
2955,4,7,158871
4324,8,F,228391
3184,7,3,186416
2459,9,17,432415
2021,8,5,406208
4300,5,17,356687
2747,2,17,301163
4904,G,17,207450
2474,8,2,271890
3082,9,2,381974
4558,9,D,216381
4047,1,1,147333
4747,9,1,234508
2975,7,19,305362
3806,9,2,438357
2189,8,12,499111
4734,1,6,250810
2562,8,4,392890
3899,8,11,149377
3267,3,17,416189
4879,1,6,460032
3528,8,D,469599
2646,3,2,236672
4068,3,6,325732
4888,D,11,455323
4214,5,16,271836
3297,7,16,305615
4435,J,1,145714
2600,7,9,202946
4363,F,6,471760
